<id>	<title>	<RealName>	<CurrentAlias>	<Affiliation>	<Relatives>	<Universe>	<Gender>	<Height>	<Weight>	<Eyes>	<Hair>	<Citizenship>	<Quotation>
1336	Tyrone Johnson (Earth-616)	Tyrone Johnson	Cloak	Partner of [[Tandy Bowen (Earth-616)|Dagger]]; formerly [[Mister Negative (Earth-616)|Mister Negative]], {{M|X-Men}}, [[Norman Osborn (Earth-616)|Osborn]]'s {{M|X-Men (Osborn)|X-Men}}, {{m|Secret Avengers (Civil War)|Secret Avengers}}, {{m|Assembly of Evil}}, Ally of the [[New Warriors (Earth-616)|New Warriors]] and [[James Howlett (Earth-616)|Wolverine]]	Smokin' Joe (rumored grandfather);&lt;br&gt;	Earth-616	Male	5'9&quot;	155 lbs	Brown	Black	American	If you're g-g-gonna sacrifice anyone, sir... it should b-b-be us!	
1337	Cloud (Earth-616)	Cloud	NA	Formerly {{M|Defenders (Earth-616)}}, {{m|Secret Empire (Earth-616)|Secret Empire}}	NA	Earth-616	| Gender2                 = (in her preferred form; she has been known to occasionally transform into her male self instead)	Variable	Variable	Blue	Blonde	NA	NA	
1338	Eliot Franklin (Clown) (Earth-616)	Eliot Franklin	NA	{{M|Gamma Corps (Earth-616)|Gamma Corps}}; formerly {{M|Circus of Crime (Earth-616)|Circus of Crime}}	Corky Franklin (father);&lt;br&gt;	Earth-616	Male	5'8&quot;	175 lbs	Brown	Brown	American	NA	
1339	Coach (Earth-616)	NA	Coach	{{M|X-Statix (Earth-616)|X-Force}} (manager), Employer of [[Succubus (Earth-616)|Succubus]] and [[Smoke (Earth-616)|Smoke]]	NA	Earth-616	Male	NA	NA	Red	White	American	NA	
1340	Ralph Roberts (Earth-616)	[[Ralph Roberts]]	[[Cobalt Man]]	[[Elihas Starr (Earth-616)|Egghead]]'s {{m|Emissaries of Evil (Egghead) (Earth-616)|Emissaries of Evil}}; formerly {{m|Stark Industries}}	[[Theodore Roberts (Earth-616)|Ted Roberts]] (brother)	Earth-616	Male	5'8&quot;	156 lbs	Brown	Brown	American	You're out of your mind if you think I'm just rolling over for the likes of you Out of your mind for throwing down with me '''at all'''! I've fought [[Anthony Stark (Earth-616)|Iron Man]]! I've fought [[Bruce Banner (Earth-616)|The Hulk]]! No way a [[Wade Wilson (Earth-616)|'''lunatic''']] and a bunch of of [[Mercs for Money (Earth-616)|'''wannabe''' has-beens]] besting me!	
1341	Klaus Voorhees (Earth-616)	[[Klaus Voorhees]]	King Cobra	Formerly [[Calvin Zabo (Earth-616)|Mister Hyde]]'s partner, {{M|Serpent Squad (Cobra) (Earth-616)|Serpent Squad}}, {{M|Serpent Squad (Madame Hydra)|Serpent Squad}}, {{M|Serpent Society}}, {{M|Thunderbolts (Earth-616)|Thunderbolts}}	NA	Earth-616	Male	5'10&quot;	160 lbs	Blue	Bald	American	| Quotation           = I've been bitten by a radioactive cobra??!!	
1342	Han, Chang, Lin, Sun, and Ho Tao-Yu (Earth-616)	[[Han]], [[Chang]], [[Lin]], [[Sun]] and [[Ho Tao-Yu]]	Collective Man	{{M|People's Defense Force (China)|People's Defense Force}}; formerly {{M|198}}, {{M|3Peace}}	Mary Tao-Yu (mother, deceased);&lt;br&gt;	Earth-616	Male	6'2&quot;	186 lbs. 	Brown	Black	Chinese	The monster is mighty, indeed! Yet he is but one against five - who are backed by the power of a nation!	
1343	Taneleer Tivan (Earth-616)	[[Taneleer Tivan]]	[[Collector]]	{{m|Elders of the Universe}}; formerly [[Bruce Banner (Earth-69413)|Maestro]] and his [[Red Team (Earth-15513)|Red Team]] (external leader)	[[Matani (Earth-616)|Matani]] (wife, deceased); [[Carina Tivan (Earth-616)|Carina]] (daughter)	Earth-616	Male	6'2&quot;	450 lbs	White	White	NA	What do you need, mortal? I have many things in my collection.	
1344	Colleen Wing (Earth-616)	Colleen Wing 	NA	Formerly {{M|Nail (Earth-616)|Nail}}, {{M|Hand (Earth-616)|Hand}}, 	NA	Earth-616	Female	5'9&quot;	135 lbs	Blue	Auburn 	American	We never should have been heroes for hire, [[Mercedes Knight (Earth-616)|Misty]]. We should have just been heroes.	
1345	Russell Collins (Earth-616)	[[Russell Collins|Russell &quot;Rusty&quot; Collins]]	NA	Formerly {{M|Acolytes}}, {{M|Mutant Liberation Front}}, {{M|New Mutants}}, {{M|X-Terminators}} (founding member), {{M|X-Factor}} (trainee), {{M|United States Navy}}	NA	Earth-616	Male	5'11&quot;	160 lbs	Blue 	Red 	American	NA	
1346	Piotr Rasputin (Earth-616)	[[Piotr Rasputin|Piotr &quot;Peter&quot; Nikolaievitch Rasputin]]	Colossus	Formerly {{m|X-Men|X-Men (Gold Team)}}, {{m|Clan Akkaba}}, {{m|Horsemen of Apocalypse (Earth-TRN574)|Horsemen of Apocalypse}}, {{m|X-Force|Cable's X-Force}}, {{m|Phoenix Five}}, {{m|X-Men (New Charles Xavier School)|Extinction Team}}, {{m|Defenders (Initiative)|Defenders}} ([[New Jersey]] {{m|50-State Initiative|Initiative}}), {{m|Excalibur}}, {{m|Acolytes}}, {{m|Soviet Super-Soldiers}} (deputized){{r|Wolverine: First Class #7}}	Efim Rasputin (paternal great-great-grandfather, deceased);&lt;br&gt;	Earth-616	Male	6'6&quot;	250 lbs	Blue	Black	Russian, Soviet	Then comrades, let us end this battle, once and for all!	
1347	Harris Moore (Earth-616)	Harris Moore	Comet	[[Champions of Xandar (Earth-616)|Champions of Xandar]]	Helen (wife, deceased);{{r|Official Handbook of the Marvel Universe Vol 2 16|; [[Champions of Xandar (Earth-616)|Champions of Xandar]]'s entry }}{{r|Nova Vol 1 23}} [[Frank Moore (Earth-616)|Frank Moore]] (aka the Crimebuster, son, deceased);{{r|Nova Vol 1 24}} sister (name unrevealed, deceased){{r|Nova Vol 1 23}}	Earth-616	Male	5'11&quot;	{{r|Official Handbook of the Marvel Universe Vol 2 16|; [[Champions of Xandar (Earth-616)|Champions of Xandar]]'s entry }}	Blue	Gray	American	&quot;You forgot about '''me,''' miscreant. In '''my''' day, villains like '''you''' were a dime a dozen! And you can '''still''' find them doing time at every '''state pen''' from here to L.A.!&quot;	
1348	Stephen Beckley (Earth-616)	[[Stephen Beckley]]	[[Comet Man]]	Comet Men; formerly {{M|National Aeronautics and Space Administration (Earth-616)|NASA}}	[[Ann Beckley (Earth-616)|Ann Beckley]] (wife, deceased), [[Benjamin Beckley (Earth-616)|Benny Beckley]] (son), Jack Beckley (father, deceased), unidentified mother (deceased), [[Jonathan Gallagher (Earth-616)|John Gallagher]] (Superior, brother, deceased), Rosemary Beckley (sister), Lou Metzer (former brother-in-law)	Earth-616	Male	6'1&quot;	190 lbs	Blue	Brown	American	NA	
1349	Commander Kraken (Earth-616)	NA	Commander Kraken	{{m|Hydra}}	NA	Earth-616	Male	6'2&quot;	215 lbs	Brown	Black	NA	NA	
1350	Frank Bohannan (Earth-616)	Frank Bohannan	Commando	formerly {{m|Department}}; {{m|Project Wideawake (Earth-616)|Project: Wideawake}}; {{m|Freedom Force}}; partner of [[Martin Fletcher (Earth-616)|Super Sabre]] and [[Louis Hamilton (Earth-616)|Stonewall]]	NA	Earth-616	Male	6'1&quot;	235 lbs	White	White	American	NA	
1351	Condor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1352	Frank Payne (Earth-616)	[[Frank Payne]]	Constrictor	Formerly {{M|Masters of Evil}}, {{M|Shadow Initiative}}, {{M|50-State Initiative|Initiative}}, {{M|Strategic Homeland Intervention, Enforcement and Logistics Division (Earth-616)|S.H.I.E.L.D.}}, {{M|Six Pack}}, {{M|Frightful Four}}, {{M|Sinister Syndicate}}, partner of [[Victor Creed (Earth-616)|Sabretooth]], one-time employee of the {{m|Corporation}}, [[Justin Hammer (Earth-616)|Justin Hammer]], [[Stewart Montenegro]], [[Ophelia Sarkissian (Earth-616)|Viper]]	Unnamed mother (deceased);&lt;br&gt;	Earth-616	Male	5'11&quot;	190 lbs	Brown-Grey	Blond	American	&lt;b&gt;'Manhandling?!'&lt;/b&gt; Are you serious? I'm a '''hired assassin.''' He's lucky he's getting away with a manhandling.	
1353	Tath Ki (Earth-616)	Tath Ki	Contemplator	{{m|Elders of the Universe}}; formerly [[Captain America Corps (Multiverse)|&quot;Captain America Corps&quot;]] (founder), [[Deadpool Corps (Multiverse)|Deadpool Corps]] (founder)	NA	Earth-616	Male	5'0	100 lbs	Blue	Bald	NA	NA	
1354	Valentina Allegra de Fontaine (Earth-616)	Unknown	[[Contessa Valentina Allegra de la Fontaine]]	Formerly {{m|Leviathan (Earth-616)|Leviathan}}, {{m|Hydra (Earth-616)|Hydra}}'s {{m|High Council of Hydra (Earth-616)|High Council}}, {{m|Strategic Homeland Intervention, Enforcement and Logistics Division (Earth-616)|S.H.I.E.L.D.}}, {{m|Central Intelligence Agency (Earth-616)|CIA}}, {{m|Femme Force (Earth-616)|Femme Force}}	unnamed parents (deceased)	Earth-616	Female	5'8&quot;	130 lbs	Blue	Black	Russian	| Quotation           = ... After both of my parents were killed in the resistance, life became meaningless.	
1355	Basil Sandhurst (Earth-616)	Basil Sandhurst	Controller	Formerly {{m|Crossfire's Crew}}, {{m|Hood's Gang (Earth-616)|Hood's army of criminals}}, {{m|New Enforcers}}, agent of [[Thanos (Earth-616)|Thanos]], agent of the [[Eshu (Earth-616)|Master of the World]], agent of the [[Johann Shmidt (Earth-616)|Red Skull]]	[[Vincent Sandhurst (Earth-616)|Vincent Sandhurst]] (brother)	Earth-616	Male	6'2&quot;	565 lbs.	White 	Black 	American	No one escapes the Controller! -- Or avoids wearing my diabolical discs!	
1356	Valerie Cooper (Earth-616)	Dr. [[Valerie Cooper]]	Val Cooper	{{M|Office of National Emergency|O.N.E}}, {{M|Commission on Superhuman Activities}}; Ally of [[X-Factor Investigations (Earth-616)|X-Factor Investigations]]; formerly {{M|X-Factor (Government)|X-Factor}}, {{M|Freedom Force}}, {{M|Secret Empire}}, {{M|Superhuman Tactical Activities Response Squad|S.T.A.R.S.}}, {{m|Department of Mutant Affairs}}{{r|X-Man #26}}	[[Edmond Atkinson (Earth-616)|Edmond Atkinson]] (ex-husband);&lt;br&gt;Unnamed brother;{{r|X-Factor #71}}&lt;br&gt; miscarriaged baby 	Earth-616	Female	5'9&quot;	134 lbs (61 kg)	Blue 	Blonde 	American	NA	
1357	Davis Lawfers (Earth-616)	Davis Lawfers	Copperhead 	{{M|Serpent Society|Serpent Solutions}}; formerly {{M|Serpent Squad (Fourth Team)|Serpent Squad}}	NA	Earth-616	Male	5' 5&quot;	140 lbs	Brown	Brown	American	NA	
1358	Vanessa Carlysle (Earth-616)	Vanessa Geraldine Carlysle	[[Copycat]]	{{m|Weapon X Project|Weapon X}}/{{m|Weapon Plus}} and {{m|Six Pack}} (as Copycat); {{m|X-Force}} and {{m|New Mutants}} (as Domino)	[[Burt Carlysle (Earth-616)|Burt Carlysle]] (father, deceased);&lt;br&gt;[[Dorothy Carlysle (Earth-616)|Dorothy Carlysle]] (mother)	Earth-616	Female	6'0&quot;	148 lbs.	Red	White	American	I used t'love him... An' he used t'love me... So even a bad seed who turns into a rotten tree... Can still have... A good leaf or two... 	
1359	Coral (Atlantean) (Earth-616)	Coral 	NA	[[Atlanteans]]	NA	Earth-616	Female	NA	NA	NA	Brown	Atlantean	NA	
1360	Jackson Day (Earth-616)	Jackson Day	Corruptor	{{m|Hood's Gang|Hood's Criminal Army}}; formerly {{m|Crossfire's Crew}}, {{M|Inner Circle (Nova Foes) (Earth-616)|Inner Circle}}, {{m|Radically Advanced Ideas in Destruction|R.A.I.D.}}	NA	Earth-616	Male	6'1&quot;	225 lbs (102 kg)	Red	White	American	I want to destroy the Good that is in you! I hunger to fill your very Soul with Evil!	
1361	Christopher Summers (Earth-616)	[[Christopher Summers]]	[[Corsair]]	{{M|Starjammers (Earth-616)|Starjammers}}; formerly {{M|United States Air Force (Earth-616)|US Air Force}}, {{m|Boy Scouts of America}}	[[Oscar Stamp (Earth-616)|Oscar Summers]] (adoptive paternal distant ancestor, deceased);&lt;br&gt;	Earth-616	Male	6'3&quot;	175 lbs	Brown	Brown	Shi'ar Empire	Don't worry about '''them''', troops... worry about '''[[Starjammers (Earth-616)|us]]'''!	
1362	Thomas Corsi (Earth-616)	Thomas Corsi	Tom Corsi	Support staff of [[Generation X (Earth-616)|Generation X]] and [[New Mutants (Earth-616)|New Mutants]], {{m|United States Army|US Army}}, {{M|Muir Island X-Men}}, {{M|Westchester County Police}}{{r|New Mutants #19}}	NA	Earth-616	Male	5'11&quot;	175 lbs	Brown	Black	USA	NA	
1363	Fabian Cortez (Earth-616)	[[Cortez|Fabian Cortez]]	NA	{{M|Acolytes}}, formerly {{M|Upstarts}}, {{M|Genoshan Cabinet}}	[[Anne-Marie Cortez (Earth-616)|Anne-Marie Cortez]] (sister, deceased)	Earth-616	Male	6'5&quot;	214 lbs (97 kg)	Blue	Brown	American	I am Fabian Cortez! A mutant like yourself. Would you like a taste of my power?	
1364	Cottonmouth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1365	Luchino Nefaria (Earth-616)	Count Luchino Nefaria 	Count Nefaria	Leader of the Nefaria Family of the {{m|Maggia (Earth-616)|Maggia}} and unofficial leader of the entire Maggia organization, {{M|Army of Evil (Earth-616)|Army of Evil}}; former employer of the [[Ani-Men (Earth-616)|Ani-Men]], leader of the second {{m|Lethal Legion (Count Nefaria) (Earth-616)|Lethal Legion}}, {{m|Legion of the Unliving}}, leader of the [[Death Squad (Count Nefaria) (Earth-616)|Death Squad]]	[[Renata Nefaria (Earth-616)|Renata Nefaria]] (wife, deceased), [[Giuletta Nefaria (Earth-616)|Giulietta Nefaria]] (daughter), [[Lloyd Bloch (Earth-616)|Nefarius (Lloyd Bloch)]] (alleged son)	Earth-616	Male	6'2&quot;	230 lbs	Blue 	Black	Italian	He has no idea what and who he is up against. What power he is taunting. Tell our friend Count Nefaria will see him now.	
1366	Courier	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1367	Graydon Creed (Earth-616)	Graydon Creed	NA	formerly {{M|Friends of Humanity (Earth-616)|Friends of Humanity}}, {{M|Human Council}}, {{M|Upstarts (Earth-616)|Upstarts}}, {{M|Purifiers (Earth-616)|Purifiers}}	NA	Earth-616	Male	6'0&quot;	160 lbs	Blue	Brown	Allegedly USA{{r|Official Handbook of the Marvel Universe A-Z #2}}	My &quot;Father&quot; and I were not as...close...as you and yours, apparently.	
1368	Frank Moore (Earth-616)	Frank Moore	Crimebuster	[[Champions of Xandar (Earth-616)|Champions of Xandar]]	[[Harris Moore (Earth-616)|Harris Moore]] (aka the Comet, father, deceased);{{r|Nova Vol 1 24}} Helen (mother, deceased);{{r|Official Handbook of the Marvel Universe Vol 2 16|; [[Champions of Xandar (Earth-616)|Champions of Xandar]]'s entry }}{{r|Nova Vol 1 23}} sister (name unrevealed, deceased){{r|Nova Vol 1 23}}	Earth-616	Male	5'10&quot;	190 lbs.	Blue	Black	American	NA	
1369	Eugene Mason (Earth-616)	Eugene P. Mason	Crime-Buster	{{m|Cavalry (Earth-616)|Cavalry}} ([[Georgia State|Georgia]] {{M|50-State Initiative (Earth-616)|Initiative}}), {{M|Penance Corps (Earth-616)|Penance Corps}}	NA	Earth-616	Male	NA	NA	NA	Blond	American	NA	
1370	René Duquesne (Earth-616)	René Duquesne	Crimson Cavalier 	{{M|Freedom's Five (Earth-616)|Freedom's Five}}	[[Jacques Duquesne (Earth-616)|Jacques Duquesne]] (alleged descendant, [[Armand Duquesne (Earth-616)|Armand Duquesne]] (alleged relative, deceased), [[Georges Batroc (Earth-616)|Georges Batroc]] (possible descendant), [[Marie Batroc (Earth-616)|Marie Batroc]] (possible descendant)	Earth-616	Male	NA	NA	NA	Black	French	Situation and chance... Seldom are they true lovers.	
1371	Anton Vanko (Crimson Dynamo) (Earth-616)	Anton Vanko	Crimson Dynamo	{{M|Stark Industries (Earth-616)|Stark Industries}}	[[Arthur Vanko (Earth-616)|Arthur Vanko]] (nephew, deceased)	Earth-616	Male	5'8&quot;	165 lbs	Brown	Bald	Russian	Poor Vanko! He sacrificed his life to prove his loyalty to our nation! He shall never be forgotten!	
1372	Alexander Nevsky (Earth-616)	[[Alexander Nevsky]]	[[Crimson Dynamo]]	{{M|Titanic Three}}	NA	Earth-616	Male	6'0&quot;	185 lbs	Brown	Brown	Soviet	NA	
1373	Yuri Petrovitch (Earth-616)	Yuri Ivanovich Bezukhov	Crimson Dynamo	{{m|Komitet Gosudarstvennoy Bezopasnosti (Earth-616)|KGB}}	NA	Earth-616	Male	6'	195 lbs	Blue	Bald	Russian	NA	
1375	Valentin Shatalov (Earth-616)	[[Valentin Shatalov]]	[[Crimson Dynamo]]	Formerly [[Remont 4]]	NA	Earth-616	Male	6'2&quot;	210 lbs 	Brown	Black	Russian	NA	
1376	Crule (Earth-616)	NA	Crule	{{m|Externals}}, formerly {{m|National Socialist German Workers Party (Earth-616)|Nazis}}	&lt;!-- None{{r|X-Men: Earth's Mutant Heroes #1}} --&gt;	Earth-616	Male	6'8&quot;	329 lbs	White	Orange	NA	Having been informed of your awakening by [[Gideon (Earth-616)|Gideon]], I decided we would be best served by severing your five branches right now... Before you become a threat to us all!	
1377	Arthur Blackwood (Earth-616)	Arthur Charles Blackwood	Crusader	Hired by the [[Parker Robbins (Earth-616)|Hood]], member of {{m|Hood's Gang}} {{m|Knights Templar (Earth-616)|Knights Templar}}	Unnamed wife; Jenny Blackwood (daughter)	Earth-616	Male	6'2&quot;	225 lbs	Blue	Brown	American	| Quotation              = This is the beginning of a new age, child -- presaged by a new crusade which will leave no one untouched! [[Goddess (Earth-616)|An angel with the beauty of a goddess]] has revealed to me my part in it as '''holy crusader --''' flaming scythe to the unholy! A herald of the true word!	
1379	Crusher (Agent of Pluto) (Earth-616)	NA	Crusher 	[[Hades (Earth-616)|Pluto]]	NA	Earth-616	Male	NA	NA	NA	NA	Olympian	NA	
1380	Crystalia Amaquelin (Earth-616)	Crystalia Amaquelin	Crystal	{{M|House of Agon|Inhuman Royal Family}}, {{M|Royal Inhuman Diplomatic Mission}}, {{M|Universal Inhumans}}; formerly {{M|Fantastic Four}}, {{M|Galactic Council}}, {{M|Avengers}}	[[Ronan (Earth-616)|Ronan]] (husband,{{r|War of Kings #1}} separated{{r|FF #21}});&lt;br&gt;	Earth-616	Female	5'6&quot;	110 lbs	Green	Strawberry Blonde	Attilan	| Quotation           = Well, you're not the only one who can lose his temper -- now see what it means -- to anger an elemental!! Oh, [[Jonathan Storm (Earth-616)|Johnny]] -- did -- did I hurt you?	
1381	Cybele (Earth-616)	[[Cybele]]	NA	[[Eternals (Race)|Eternals]]	[[Zuras (Earth-616)|Zuras]] (husband);&lt;br&gt;[[Azura (Earth-616)|Azura (Thena)]] (daughter);&lt;br&gt;[[A'Lars (Earth-616)|A'Lars (Mentor)]] (brother-in-law);&lt;br&gt;[[Eros (Earth-616)|Eros (Starfox)]] (nephew);&lt;br&gt;[[Thanos (Earth-616)|Thanos]] (nephew) 	Earth-616	Female	5' 11&quot;	125 lbs 	Blue	Strawberry Blonde	Olympia	NA	
1382	Silas Burr (Earth-616)	[[Silas Burr ]]	Hornet	Formerly {{m|Slingers}}, former employee of [[Coven (Earth-616)|Coven]], former employer of {{m|Hell's Belles (Earth-616)|Hell's Belles}}, former leader of {{m|Devil's Brigade (Earth-616)|Devil's Brigade}} ({{M|Canadian Army (Earth-616)|Canadian Army}})	Unnamed ex-wife	Earth-616	Male	6'6&quot;	400 lbs	Blue 	Black 	Canadian	Hmmm, it seems the exterminators have been lax, and there is a '''[[James Howlett (Earth-616)|rat]]''' crawling the premises. So it '''is''' you. I thought you were dead. '''Odd.''' You don't '''look''' dead.	
1383	André Gerard (Earth-616)	André Gerard	Cyclone	Formerly {{m|Hood's Gang}}, {{m|Maggia}}, {{m|North Atlantic Treaty Organization (Earth-616)|NATO}}	NA	Earth-616	Male	5'11&quot;	195 lbs 	Blue	NA	French	NA	
1385	Cylla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1386	Douglas Ramsey (Earth-616)	[[Douglas Aaron Ramsey]] 	[[Cypher]]	{{M|X-Factor (Serval Industries)|X-Factor}} ({{M|Serval Industries}}); formerly {{M|X-Men}} (Jean Grey School member), {{M|New Mutants}}, [[Scott Summers (Earth-616)|Cyclops]]' {{M|X-Force (Strike Team)|X-Force}}, {{M|Hellions}}, [[Selene Gallio (Earth-616)|Selene's]] undead mutant army	[[Philip Ramsey (Earth-616)|Philip Ramsey]] (father);&lt;br&gt; 	Earth-616	Male	5'9&quot; 	150 lbs (68 kg)	Blue 	Blond	American	Everything is language. I am language. '''I am everything.'''	
1387	D'Ken Neramani (Earth-616)	[[D'Ken Neramani]]	Emperor D'Ken	Former ruler of the [[Shi'ar Imperium]], ally of [[Cal'syee Neramani (Earth-616)|Deathbird]] and [[Gabriel Summers (Earth-616)|Vulcan]].	NA	Earth-616	Male	6'0&quot;	187 lbs	Hazel	Black	Shi'ar Empire	I am the '''Great D'Ken''', and everything you are today, you owe to '''me'''. 	
1388	D'Spayre (Earth-616)	D'Spayre	NA	{{m|Fear Lords}}; {{m|Lords of the Splinter Realms}}	NA	Earth-616	Male	6'3&quot;	NA	Black	No hair	NA	NA	
1389	Tandy Bowen (Earth-616)	| RealName            = Tandy Bowen	| CurrentAlias        = Dagger	| Affiliation         = Partner of [[Tyrone Johnson (Earth-616)|Cloak]]; formerly [[Mister Negative (Earth-616)|Mister Negative]], {{M|X-Men}}; [[Norman Osborn (Earth-616)|Osborn]]'s {{M|X-Men (Osborn)|X-Men}}, {{M|New Warriors}}, {{M|Secret Defenders}}, &quot;{{m|Marvel Knights}}&quot;, {{m|Secret Avengers (Civil War)|Secret Avengers}}, {{m|Assembly of Evil}}, {{m|Brides of Set}}	[[Nathan Tyler (Earth-616)|Nathan Tyler (Lord of Light)]] (father);&lt;br&gt;	Earth-616	Female	5'5&quot;	115 lbs	Blue	Blonde	American	| Quotation           = We're gonna be a '''team''' now...? So what do we '''call''' ourselves?	
1390	Dagoth (Earth-616)	[[Dagoth]]	NA	Agent of [[Shuma-Gorath (Multiverse)|Shuma-Gorath]]{{r|Marvel Zombies Handbook #1|; [[Demons]]' entry}}	[[Category:Dagoth Family]][[Category:Dagon Family]]	Earth-616	Male	NA	NA	Yellow	None	NA	NA	
1391	Dakimh (Earth-616)	Dakimh 	Dakimh the Enchanter 	Mentor of [[Jennifer Kale (Earth-616)|Jennifer Kale]] and occasional ally of [[Man-Thing]] and [[Korrek (Earth-616)|Korrek]]; formerly {{M|Cult of Zhered-Na (Earth-616)|Cult of Zhered-Na}}	NA	Earth-616	Male	NA	NA	NA	White	Pre-Cataclysmic Atlantean	NA	
1392	Damballah (Demon) (Earth-616)	[[Damballah]]	NA	NA	[[Set (Earth-616)|Set]] (father);[[Category:Set Family]]&lt;br&gt;	Earth-616	Male	NA	NA	NA	None	NA	NA	
1394	Dansen Macabre (Earth-616)	 	Dansen Macabre	Formerly {{m|Night Shift}}, {{m|Femizons}}, {{m|Cult of Kali}}	NA	Earth-616	Female	5'10&quot;	135 lbs.	Blue	Silver	American	NA	
1395	Danielle Moonstar (Earth-616)	[[Danielle Moonstar|Danielle &quot;Dani&quot; Moonstar]]	| CurrentAliasRef         = 	{{M|Cheyenne People|Cheyennes}}, {{M|X-Men|X-Men (Gold Team)}}; formerly {{M|Defenders (Valkyrior)}}, {{M|New Mutants}}, {{M|Young X-Men}}, {{M|New Mutants Squad}} (mentor), {{M|X-Force}}, {{M|Strategic Homeland Intervention, Enforcement and Logistics Division (Earth-616)|S.H.I.E.L.D.}}, {{M|Mutant Liberation Front}}, {{M|Valkyrior}}, [[Hela (Earth-616)|Hela]]'s Valkyrie, {{M|50-State Initiative|Initiative}} (consultant)	NA	Earth-616	Female	5'6&quot;	123 lbs.	Brown	Black	American	I am Cheyenne -- and today is a good day to die!	
1396	Matthew Murdock (Earth-616)	[[Matt Murdock|Matthew &quot;Matt&quot; Michael Murdock]]	[[Daredevil]]	{{M|Defenders (Manhattan) (Earth-616)|Defenders}}, partner of [[Samuel Chung (Earth-616)|Blindspot]], New York City District Attorney's Office; formerly [[Kirsten McDuffie (Earth-616)|Kirsten McDuffie]], {{M|Defenders}}, {{M|Nelson and Murdock (Earth-616)|Nelson and Murdock}}, {{M|New Avengers}}, {{m|Strategic Homeland Intervention, Enforcement and Logistics Division (Earth-616)|S.H.I.E.L.D.}}, {{m|Marvel Knights}}, leader of the {{m|Hand (Earth-616)|Hand}}; former partner of [[Natalia Romanova (Earth-616)|Black Widow (Natasha Romanoff)]];&lt;br&gt;{{M|Worthington Industries}} (Attorney)	NA	Earth-616	Male	5'11&quot;	185 lbs	Blue	Red	American	As Daredevil, I get to save the world. As a lawyer... maybe I can '''fix''' it. I need them both. That's what I realized. The warrior and the lawyer. It doesn't work if I only have one.	
1397	Henry McCoy (Earth-295)	[[Henry McCoy|Dr. Henry &quot;Hank&quot; Philip McCoy]]	[[Dark Beast]]	Formerly {{M|Clan Akkaba (Earth-295)|Clan Akkaba (295)}}, {{M|Clan Akkaba (Earth-616)|Clan Akkaba (616)}}, [[Norman Osborn (Earth-616)|Osborn]]'s {{M|X-Men (Osborn) (Earth-616)|X-Men}}, {{M|H.A.M.M.E.R. (Earth-616)|H.A.M.M.E.R.}}, {{M|Elite Mutant Force}}, [[Alexander Summers (Earth-616)|Havok]]'s {{M|Brotherhood (Havok) (Earth-616)|Brotherhood}}, {{M|Excalibur (Genoshan) (Earth-616)|Genoshan Excalibur}}, {{M|X-Men (Earth-616)|X-Men}} (while impersonating [[Henry McCoy (Earth-616)|Beast]]), {{M|Gene Nation (Earth-616)|Gene Nation}} &amp; {{M|Morlocks (Earth-616)|Morlocks}} (Leader)	[[Norton McCoy]] (father, deceased);&lt;br&gt; 	Earth-295	Male	5'11&quot;	400 lbs	Blue	Grey	American	He is both gifted and savage at the same time.	
1399	Christopher Powell (Earth-616)	[[Christopher Powell]]	Darkhawk	{{m|New York City Police Department|NYPD}}, {{m|Code: Blue}}; formerly {{M|Loners}}, {{M|New Warriors}}, {{M|Avengers West Coast}} (reservist), {{M|Secret Defenders}} (founder), {{M|Fraternity of Raptors}} (host), {{M|Project P.E.G.A.S.U.S. (Earth-616)|Project Pegasus}}	[[Michael Powell (Earth-616)|Mike Powell]] (father);&lt;br&gt;[[Grace Powell (Earth-616)|Grace Powell]] (mother);&lt;br&gt;[[Jonathan Powell (Earth-616)|Jon]] and [[Jason Powell (Earth-616)|Jason Powell]] (brothers);&lt;br&gt;[[Miranda Cruz (Earth-616)|Miranda Cruz]] (fiancée)	Earth-616	Male	5'9&quot;	150 lbs	Brown	Brown	American	The name's '''[[Darkhawk]]'''. I thought I could retire... But because of sick freaks like [[Ultron (Earth-616)|you]], that can '''never''' happen. There's a '''war''' going on, a war between good and evil. And in war, our '''elders''' may give the orders... But it's the '''young''' who have to fight.	
1400	Desmond Pitt (Earth-616)	Desmond Pitt	Darkoth	Ally of the [[Fantastic Four (Earth-616)|Fantastic Four]], [[Thor (Thor Odinson)|Thor]], [[Excalibur (Earth-616)|Excalibur]],[[Avengers (Earth-616)|Avengers]], Demons of [[Limbo (Demonic)|Otherplace]] formerly {{m|United States Air Force (Earth-616)|USAF}}	Unnamed wife (deceased), unnamed son 	Earth-616	Male	6'2&quot;	225 lbs	Brown	Bald	American	NA	
