<id>	<title>	<Relatives>
24362	Kya	[[Wanda Maximoff (Earth-3515)|Wanda Maximoff]] (mother), Unnamed Father, [[Pietro Maximoff (Earth-3515)|Pietro Maximoff]] (uncle), [[Daiea (Earth-3515)|Daiea]] (sister)
24394	Bloodstorm	[[Vlad Dracula (Earth-616)|Dracula]] (genetic "father")
24410	Sentinel MK II	[[Lawrence Trask (Earth-616)|Larry Trask]] (creator, deceased), [[Sentinel Number 2 (Earth-616)|Number Two]] (builder, defunct), [[Sentinels Mk I (Earth-616)|Sentinels Mk I]] (previous model,defunct), [[Sentinels Mk III (Earth-616)|Sentinels Mk III]] (following model, defunct), [[Sentinels Mk IV (Earth-616)|Sentinels Mk IV]] (following model), [[Sentinels Mk V (Earth-616)|Sentinels Mk V]] (following model), [[Sentinels Mk VI (Earth-616)|Sentinels Mk VI]] (following model), [[Tri-Sentinel (Earth-616)|Tri-Sentinel]] (defunct), [[Sentinel Omega Class (Earth-811)|Sentinels Omega Class]], (following model from Earth-811), [[Nimrod (Earth-811)|Nimrod]] (following model from Earth-811)
24411	Sentinel	[[Lawrence Trask (Earth-616)|Larry Trask]] (creator, deceased)[[Master Mold (Earth-616)|Master Mold]] (previous model, went through the [[Siege Perilous]] with [[Nimrod (Earth-811)|Nimrod]], status unknown)[[Sentinel Mk II (Earth-616)|Sentinels Mk II]] (defunct)
24412	Sentinel MK III	Earth-616
24417	Sentinel MK IV	[[Sebastian Shaw (Earth-616)|Sebastian Shaw]] (manufacturer), [[Sentinels Mk I (Earth-616)|Sentinels Mk I]] (previous model, defunct), [[Sentinels Mk II (Earth-616)|Sentinels Mk II]] (previous model, defunct), [[Sentinels Mk III (Earth-616)|Sentinels Mk III]] (previous model, defunct), [[Sentinels Mk V (Earth-616)|Sentinels Mk V]] (following model/permanent fusee), [[Sentinels Mk VI (Earth-616)|Sentinels Mk VI]] (following model/permanent fusee), [[Tri-Sentinel (Earth-616)|Tri-Sentinel]] (fused form, defunct), [[Sentinel Omega Class (Earth-811)|Sentinels Omega Class]], (following model from Earth-811), [[Nimrod (Earth-811)|Nimrod]] (following model from Earth-811)
24420	Sentinels	[[Sebastian Shaw (Earth-616)|Sebastian Shaw]] (manufacturer)[[Sentinels Mk I (Earth-616)|Sentinels Mk I]] (previous model, defunct)[[Sentinels Mk II (Earth-616)|Sentinels Mk II]] (previous model, defunct)[[Sentinels Mk III (Earth-616)|Sentinels Mk III]] (previous model, defunct)[[Sentinels Mk IV (Earth-616)|Sentinels Mk IV]] (previous model/permanent fusee)[[Sentinels Mk VI (Earth-616)|Sentinels Mk VI]] (following model/permanent fusee); [[Tri-Sentinel (Earth-616)|Tri-Sentinel]] (fused form, defunct)[[Sentinel Omega Class (Earth-811)|Sentinels Omega Class]](following model from Earth-811)[[Nimrod (Earth-811)|Nimrod]] (following model from Earth-811)
24422	Sentinels	[[Sebastian Shaw (Earth-616)|Sebastian Shaw]] (manufacturer), [[Sentinels Mk I (Earth-616)|Sentinels Mk I]] (previous model, defunct), [[Sentinels Mk II (Earth-616)|Sentinels Mk II]] (previous model, defunct), [[Sentinels Mk III (Earth-616)|Sentinels Mk III]] (previous model, defunct), [[Sentinels Mk IV (Earth-616)|Sentinels Mk IV]] (previous model/permanent fusee), [[Sentinels Mk V (Earth-616)|Sentinels Mk V]] (previous model/permanent fusee), [[Tri-Sentinel (Earth-616)|Tri-Sentinel]] (fused form, defunct), [[Sentinel Omega Class]] (following model from Earth-811), [[Nimrod (Earth-811)|Nimrod]] (following model from Earth-811)
24423	Sentinel	 [[Sentinels Mk I (Earth-616)|Sentinels Mk I]] (previous model, defunct)[[Sentinels Mk II (Earth-616)|Sentinels Mk II]] (previous model, defunct)[[Sentinels Mk III (Earth-616)|Sentinels Mk III]] (previous model, defunct)[[Sentinels Mk IV (Earth-616)|Sentinels Mk IV]] (previous model, defunct)[[Sentinels Mk V (Earth-616)|Sentinels Mk V]] (previous model, defunct)[[Sentinels Mk VI (Earth-616)|Sentinels Mk VI]] (previous model, defunct)[[Tri-Sentinel (Earth-616)|Tri-Sentinel]] (defunct)[[Nimrod (Sentinel)|Nimrod]] (following model)
24437	Michael	Unnamed mother (deceased); Unnamed father (deceased); Unnamed brother (deceased);
24452	Tri-Sentinel	[[Shaw Industries (Earth-616)|Shaw Industries]] (original manufacturer);[[Loki Laufeyson (Earth-616)|Loki]] (builder);[[Sentinels|Other Sentinels]]
24456	Sinthea	Hermann Schmidt (paternal grandfather, deceased);
24458	Susan	[[Minister Blood|Melvin Scarbo]] (brother, deceased)
24560	Hope	[[Jubilation Lee (Earth-616)|Jubilation Lee]] (niece), [[Shogo Lee (Earth-616)|Shogo Lee]] (great nephew), Dr. Lee (brother, deceased)
24592	Yon-Rogg	[[Zey-Rogg (Earth-616)|Zey-Rogg]] (son), [[Una-Rogg (Earth-616)|Una-Rogg]] (daughter), [[Hav-Rogg (Earth-616)|Hav-Rogg]] (grand-son)
24607	Piotr	Unnamed parents (deceased);[[Mikhail Rasputin (Earth-295)|Mikhail Rasputin]] (brother, deceased);[[Illyana Rasputina (Earth-295)|Illyana Rasputina]] (sister, missing);[[Katherine Pryde (Earth-295)|Shadowcat]] (wife, deceased)
24629	Amaterasu	[[Izanagi-No-Mikoto (Earth-616)|Izanagi]] (father); [[Gaea (Earth-616)|Izanami]] (mother); [[Susa-No-O-Izumo (Earth-616)|Susanoo]], [[Tsukuyomi (Earth-616)|Tsukuyomi]] (brothers), Takamimusubi (husband)
24630	Izanagi-No-Mikoto	[[Gaea (Earth-616)|Izanami]] (wife), [[Susa-No-O-Izumo (Earth-616)|Susanoo]], [[Tsukuyomi (Earth-616)|Tsukuyomi]] Takamimusubi, [[Bishamon (Earth-616)|Bishamon]] (sons), [[Amaterasu (Earth-616)|Amaterasu]] (daughter)
24633	Thoth	[[Demiurge (Earth-616)|Nun]] (father);
24640	Nelvanna	[[Category:Nelvanna Family]]
24641	Hodiak	[[Nelvanna (Earth-616)|Nelvanna]] (daughter);The Shaper (cousin);[[Narya (Earth-616)|Snowbird]] (granddaughter, deceased);[[Douglas Thompson (Earth-616)|Doug Thompson]] (grandson-in-law, deceased);[[Thompson (Narya's son) (Earth-616)|unnamed great-grandson]] (deceased) 
24643	Buluku	[[Category:Buluku Family]]
24644	Gitche	Gaoh (father);{{citation}}
24645	Nuada	[[Deimne (Earth-616)|Gwynn]], [[Gwythr (Earth-616)|Gwythr]] (sons);[[Category:Nuada Family]]
24646	Itzamna	[[Hunab Ku (Earth-616)|Hunab Ku]] (father);
24647	Svarog	[[Category:Svarog Family]]&lt;!-- mimicked from Perun {{r|All-New Official Handbook of the Marvel Universe Update #2|; [[Perun (Earth-616)|Perun]]'s entry}} +  --&gt;[[Rod (Earth-616)|Rod]] (grandfather);
24648	Tezcatlipoca	[[Ometecuhtli (Earth-616)|Ometcuhtli]] (father);[[Omecíhuatl (Earth-616)|Omecíhuatl]] (mother);[[Mictlantecuhtli (Deity) (Earth-616)|Mictlantecuhtli]], [[Quetzalcoatl (Earth-616)|Quetzalcoatl]], [[Tláloc (Earth-616)|Tláloc]], [[Xipe Totec (Earth-616)|Xipe Totec]], [[Xolotl (Earth-616)|Xolotl]] (brothers);
24650	Ulgen	[[Tengri (Earth-616)|Tengri]] (father);
24651	Ukko	[[Ilmarinen (Earth-616)|Ilmarinen]] (father, possibly deceased);[[Gaea (Earth-616)|Akka]] (mother);{{citation}}
24652	Kāne	[[Gaea (Earth-616)|Papa/Haumea]] (mother/mate);
24653	Con	[[Mama Cocha (Earth-616)|Mama Cocha]] (creation/companion);{{r|Thor  Hercules: Encyclopaedia Mythologica #1|; [[Apu]]'s entry}}
24654	Anu	[[Category:Anu Family]][[Category:Tiamat Family]]&lt;!-- As I don't know the exact genealogies of Anshat and Kishar --&gt;
24656	Atar	[[Ahura Mazda (Earth-616)|Ahura Mazda]] (creator);
24658	Zhao	&lt;!-- None{{r|Thor  Hercules: Encyclopaedia Mythologica #1|; Shou-Hsing's entry}} --&gt;
24659	Hunab	[[Gaea (Earth-616)|Coatlique]] (wife);
24675	Heather	[[Thomas Duncan (Earth-616)|Thomas Duncan]] (father);
24741	Burstarr	[[Blastaar (Earth-616)|Blaastar]] (father), [[Nyglar (Earth-616)|Nyglar]] (mother)
24796	Jack	[[Gwyneth Burke (Earth-616)|Gwyneth Burke]] (wife),[[Job Burke (Earth-616)|Job Burke]] (adopted son)
24797	Gwyneth	[[Jack Burke (Earth-616)|Jack Burke]] (husband),[[Job Burke (Earth-616)|Job Burke]] (adopted son)
24798	Job	[[Gwyneth Burke (Earth-616)|Gwyneth Burke]] (foster mother)[[Jack Burke (Earth-616)|Jack Burke]] (foster father)[[Theodore Sallis (Earth-616)|Theodore Sallis]] (father)[[Ellen Brandt (Earth-616)|Ellen Brandt]] (mother)[[Adam K'ad-Mon (Earth-616)|Adam K'ad-Mon]] (ancestor)[[Cleito (Earth-616)|Cleito]] (ancestor)
24800	Ellen	[[Theodore Sallis (Earth-616)|Theodore Sallis]] (ex-husband)
24802	Michael	[[Samuel Burley (Earth-616)|Samuel Burley]] (brother)
24803	Samuel	[[Michael Burley (Earth-616)|Michael Burley]] (younger brother)  unnamed father
24819	KhLΘG	[[Gitche Manitou (Earth-616)|Gitche Manitou]] (creator)
24933	Leander	[[Paul Natchios (Earth-1610)|Paul Natchios]] (brother)[[Dimitris Natchios (Earth-1610)|Dimitris Natchios]] (cousin)[[Irene Natchios (Earth-1610)|Irene Natchios]] (cousin)[[Elektra Natchios (Earth-1610)|Elektra Natchios]] (second cousin)
25000	Pandemonia	Unnamed lesser [[Chaos Lord]] (father)
25092	Jerry	Earth-616
25097	Gregory	[[Ann Herd (Earth-616)|Ann Herd]] (wife)
25222	Conan	[[Drogin (Earth-616)|Drogin]] (paternal grandfather, deceased);&lt;!-- {{r|Conan the Barbarian #119}} --&gt;
25251	Franklin	[[Kristoff Vernard (Earth-982)|Doom]] (paternal half-uncle)
25512	Donna	[[Elizabeth Bliss (Earth-616)|Elizabeth Bliss]] (twin sister)Bonnie Bliss (sister, deceased)
25513	Elizabeth	[[Donna Bliss (Earth-616)|Donna Bliss]] (twin sister)Bonnie (sister, deceased)
25591	Frank	Beverly Lacoco (ex-wife), Francis and Roger Mantle (adoptive parents, deceased)
25595	Vincente	[[Giacomo Fortunato (Earth-616)|Giacomo Fortunato]] (son), [[Angelo Fortunato (Earth-616)|Angelo Fortunato]] (son, deceased)
25600	Carlos	Unnamed wife (deceased); [[Marta Cardona (Earth-616)|Marta Cardona]] (daughter)
25603	Jonathan	David Garrett (father), Sarah Garrett (mother), Nathan Garrett (brother), unnamed sister-in-law, two unnamed nieces or nephews
25607	Melf	[[Relf (Earth-616)|Relf]] (nephew)
25615	Arturo	[[Mrs. Falcone (Earth-616)|Unnamed wife]],[[Matt Falcone (Earth-616)|Matti]], [[Primo Falcone (Earth-616)|Primo]] (sons)
25768	Derek	[[Zari Khanata (Earth-616)|Zari Khanata]] (wife), two unnamed daughters,
25842	Captain	Unidentified mother
26361	Ellen	[[Hope Hibbert (Earth-616)|Hope]] (daughter)
26394	Charles	[[Brett Barton (Earth-616)|Brett Barton]] (ancestor);
26396	Bailey	[[Belinda Mathius]] (wife)
26399	Belinda	[[Bailey Mathius]] (husband)
26441	Jartran	[[Elmar Radd (Earth-616)|Elmar Radd]] (wife, deceased)
26491	Eduardo	Unnamed mother;
26571	Harrison	[[Rosie Thompson (Earth-616)|Rosie Thompson]] (wife);[[Eugene Thompson (Earth-616)|Eugene Thompson]] (son, deceased);[[Jesse Thompson (Earth-616)|Jesse Thompson]] (daughter);[[Lea Thompson (Earth-616)|Lea Thompson]] (sister);[[Howard Deutch (Earth-616)|Howard Deutch]] (brother-in-law)
26579	Orwell	unnamed wife, [[Maxwell Taylor (Earth-616)|Maxwell]] (son), [[Hugh Taylor (Earth-616)|Hugh Taylor]] (son, deceased)
26583	Maxwell	[[General Orwell Taylor]] (father), Hugh Taylor (older brother, deceased)
26720	Tyler	[[Tiberius Stone (Earth-928)|Ty Stone]] (father, deceased)[[Miguel O'Hara (Earth-928)|Miguel O'Hara]] (son)[[Kron Stone (Earth-928)|Kron Stone]] (son)[[Nancy Herod (Earth-928)|Nancy Stone]] (wife, deceased)[[John Herod (Earth-928)|Anthony Herod]] (father-in-law)
26731	Kateri	Joey (son, deceased)
26798	Dwight	Unnamed wife, son, daughter
26814	Vulture	[[Fiona (Earth-928)|Fiona]] (daughter)
26827	Sara	Unnamed parents  great-grandfather
26871	Harlan	[[Farley Stillwell (Earth-616)|Farley Stillwell]] (brother, deceased)
26873	Michael	Unnamed son{{r|Spider-Man 2099 Vol 3 25}}
26874	Francis	Unnamed husband (deceased)[[Barbara Ketch (Earth-616)|Barbara Ketch]] (adoptive daughter, deceased)[[Daniel Ketch (Earth-616)|Dan Ketch]] (adoptive son)
26896	Edna	[[Elvin Haliday (Earth-616)|Rage (Elvin Haliday)]] (grandson, deceased)
26898	Bartholomew	[[Angelica Jones (Earth-616)|Angelica Jones]] (Firestar, daughter); "Nana" (mother)
26899	Justin	[[Madeline Baldwin (Earth-616)|Maddie Baldwin]] (ex-wife), [[Robert Baldwin (Earth-616)|Robbie]] (son)
26900	Madeline	[[Robert Baldwin (Earth-616)|Robbie]] (son), [[Justin Baldwin]] (ex-husband)
26901	Charles	[[Ralph Rider (Earth-616)|Dr. Ralph Rider]] (brother, deceased)  [[Gloria Rider (Earth-616)|Gloria Rider]] (wife)  [[Richard Rider (Earth-616)|Richard Rider]] (Nova, son)  [[Robert Rider (Earth-616)|Robert Rider]] (son)
26902	Gloria	[[Charles Rider (Earth-616)|Charles Rider]] (husband, deceased)  [[Richard Rider (Earth-616)|Richard Rider]] (aka Nova, son)  [[Robert Rider (Earth-616)|Robert Rider]] (son)  [[Ralph Rider (Earth-616)|Dr. Ralph Rider]] (brother-in-law, deceased)
26904	Jalfaha	[[Farnoq Dahn (Earth-616)|Farnoq Dahn]] (cousin, deceased)
26911	Norma	[[Vance Astrovik (Earth-616)|Vance Astrovik]] (aka Justice, son); [[Arnold Astrovik (Earth-616)|Arnold Astrovik]] (husband, deceased); [[Jerry Astrovik (Earth-616)|Jerry Astrovik]] (father-in-law, deceased); [[Katerina Astrovik (Earth-616)|Katerina Astrovik]] (mother-in-law, deceased)
26926	Guido	[[Tina Sapristi (Earth-616)|Tina Sapristi]] (wife);
26928	Marcy	[[Bobby Steele (Earth-616)|Bobby Steele]] (husband);[[Eric Masterson (Earth-616)|Eric Masterson]] (ex-husband, deceased);[[Kevin Masterson (Earth-616)|Kevin Masterson]] (son)
26929	Robert	[[Marcy Masterson (Earth-616)|Marcy Masterson]] (wife), [[Kevin Masterson (Earth-616)|Kevin Masterson]] (step-son)
27048	Hallan	Ellene (wife)
27059	Hannah	[[Amanda Fairmont (Earth-616)|Amanda Fairmont]] (daughter)
27083	Sedna	[[Hodiak (Earth-616)|Hodiak]] (father);
27096	Tserron	[[Perrikus (Earth-616)|Perrikus]] (husband)
27119	Simon	Martha Williams (mother, deceased), [[Vision (Earth-691)|Mainframe]] ("brother"), Eric Williams (Grim Reaper, brother, deceased)
27137	Zhilla	[[Dreamqueen (Earth-616)|Dreamqueen]] (daughter by [[Nightmare (Earth-616)|Nightmare]])
27142	Pagan	[[Jonathan Tremont (Earth-616)|Jonathan Tremont]] (brother), [[Lord Templar (Tremont) (Earth-616)|Lord Templar]] (brother)
27211	Tina	[[Guido Sapristi (Earth-616)|Guido "Jerry" Sapristi]] (husband); [[Ernesto Sapristi (Earth-616)|Ernesto]], [[Pietro Sapristi (Earth-616)|Pietro]] and [[Giovanni Sapristi (Earth-616)|Giovanni]] (sons); [[Maria Sapristi (Earth-616)|Maria]], [[Rosa Sapristi (Earth-616)|Rosa]] and [[Gabriella Sapristi (Earth-616)|Gabriella]] (daughters);
27290	Marcus	unnamed father (deceased); unnamed ex-wife
27298	Paul	[[Shelley Conklin (Earth-616)|Shelley Conklin]] (wife), [[Paul Conklin Jr. (Earth-616)|Paul Conklin Jr.]] (son), [[Amy Conklin (Earth-616)|Amy Conklin]] (daughter)
27300	Margarita	[[Roberto Ruiz (Earth-616)|Roberto Ruiz]] (brother)
27305	Shelley	[[Paul Conklin (Earth-616)|Paul Conklin]] (husband, deceased), [[Paul Conklin Jr. (Earth-616)|Paul Conklin Jr.]] (son), [[Amy Conklin (Earth-616)|Amy Conklin]] (daughter)
27309	Ronald	Lyman Hilliard (father, deceased)
27312	Darren	[[Twister (Mitchell) (Earth-616)|Twister]] (father, deceased), [[Human Top (David Mitchell)]] (grandfather)
27334	Martha	Samuel Robertson (father-in-law); Alice Robertson (mother-in-law);[[Joseph Robertson (Earth-616)|Joe Robertson]] (husband); [[Randolph Robertson (Earth-616)|Randy Robertson]] (son); Patrick Robertson (son, deceased); [[Amanda Batavides (Earth-616)|Amanda Batavides]] (former daughter-in-law)
27522	Wyndell	[[Richard Dickinson (Earth-616)|Ricky Dickinson]] (brother)
27532	Chloe	Earth-616
27543	Edna	Sadie McCoy (mother-in-law);{{r|X-Men Unlimited #10}}
27550	Holly	Fred and Mrs. LaDonna (parents)
27554	Esperanza	Unnamed mother (deceased), unnamed father (deceased), unnamed grandfather (deceased)
27566	Marya	[[Natalya Maximoff (Earth-616)|Natalya Maximoff]] (sister-in-law, deceased);{{r|Scarlet Witch Vol 2 11}}
27569	Kevin	Edward and Katherine (parents, deceased), [[Drake Trench (Earth-616)|Drake Trench]] (uncle)
27573	Norton	Sadie McCoy (mother);{{r|X-Men Unlimited #10}}
27578	Rick	[[Trish Bogart (Earth-616)|Trish Bogart]] (wife)
27594	Trish	[[Rick Bogart (Earth-616)|Rick Bogart]] (husband)
27759	Kurt	[[Marjorie Marko (Earth-616)|Marjorie Marko]] (wife, deceased);
27846	Steven	[[Steven Rogers (Earth-90110)|Captain America]] (ancestor)
27867	William	[[Harold Hogan (Earth-90110)|Harold Hogan]] (ancestor), [[Virginia Potts (Earth-90110)|Virginia Hogan]] (ancestor){{r|Avengers Assemble Vol 1 1}}
27873	Jhen	[[Jennifer Walters (Earth-90110)|Jen Walters]] (genetic template/"ancestor")
27875	John	[[Nicholas Fury (Earth-90110)|Nick Fury]] (ancestor);[[John Fury, Jr. (Earth-90110)|John Fury, Jr.]] (son);
27893	James	[[Human Torch|Johnny Storm]], [[Frankie Raye]] (ancestors)
28065	Kirstin	Unnamed father (deceased), unnamed mother
28069	Roddy	Unidentified son
28138	Alexander	[[Christopher Summers (Earth-295)|Christopher]]  [[Katherine Summers (Earth-295)|Katherine]] (parents, deceased);[[Nathaniel Essex (Earth-295)|Sinister]] (adopted father, deceased);[[Scott Summers (Earth-295)|Scott]] (brother, deceased);[[Nathaniel Grey (Earth-295)|Nate Grey]] (nephew);unborn child by [[Scarlett McKenzie (Earth-295)|Scarlett McKenzie]]
28139	Christopher	[[Katherine Summers (Earth-295)|Katherine Summers]] (wife, deceased);[[Scott Summers (Earth-295)|Cyclops]], [[Alexander Summers (Earth-295)|Havok]] (sons)
28140	Nathaniel	[[Scott Summers (Earth-295)|Scott]]  [[Alexander Summers (Earth-295)|Alex Summers]] (adopted sons, deceased); 
28146	Nicholas	[[Monica Chang (Earth-1610)|Monica Chang-Fury]] (ex-wife, deceased);[[Julius Chang (Earth-1610)|Julius Chang]] (son); Unnamed ex-mother-in-law
28149	Spider-Skeleton	[[Miles Warren (Earth-616)|Miles Warren]] (creator)
28171	Victor	[[Graydon Creed (Earth-295)|Graydon Creed (Horror Show)]] (son, deceased);[[Clarice Ferguson (Earth-295)|Clarice Ferguson (Blink)]] (adopted daughter);[[David Richards (Earth-2600)|David Richards]] (adopted son, deceased)
28172	En	[[Nemesis (Earth-295)|Holocaust]] (son, deceased)
28196	Wanda	[[Erik Lehnsherr (Earth-295)|Magneto]] (father, deceased); 
28255	Keniuchio	Shingen Harada (father);
28256	Elizabeth	[[Brian Braddock (Earth-295)|Brian Braddock]] (brother, deceased)
28294	Charles	[[Harry Ronalds (Earth-616)|Harry Ronalds]] (father, deceased), [[Robin Ronalds (Earth-616)|Robin Ronalds]] (mother, deceased)
28302	Damian	[[Dafydd ap Andras (Earth-6124)|Damian Tryp Sr.]] (pretend father but really just future version of himself)
28308	Harry	[[Robin Ronalds (Earth-616)|Robin Ronalds]] (wife, deceased), [[Charles Ronalds (Earth-616)|Charlie Ronalds]] (son)
28321	Robin	[[Harry Ronalds (Earth-616)|Harry Ronalds]] (husband, deceased), [[Charles Ronalds (Earth-616)|Charlie Ronalds]] (son)
28508	Jon	[[Adam Spectre (Earth-4935)|Adam Spectre]] (father, deceased)
28521	Reed	[[Gary Richards (Earth-1610)|Gary Richards]] (father, deceased),
28541	Elaine	[[Phyllis Dennefer (Earth-616)|Phyllis]] (sister, deceased); 
28849	Benjamin	[[Rachel Grimm (Earth-1610)|Rachel Grimm]] (mother);
28908	Colin	[[Arthur Hardy (Earth-616)|Arthur]] (father), [[Lisa Hardy (Earth-616)|Lisa]] (mother); [[Ned Hardy (Earth-616)|Ned Hardy]], [[Malcolm Hardy (Earth-616)|Malcolm Hardy]] (brothers); [[Jennifer Hardy (Earth-616)|Jennifer Hardy]], [[Nell Hardy (Earth-616)|"Little" Nell Hardy]] (sisters) (all deceased)
29110	Clive	[[Leiko Wu]] (wife);
29112	Corporal	Father (deceased)
29158	Brian	[[Elizabeth Braddock (Earth-597)|Betsy Braddock]]; sister
29159	Dai	[[Valerie Thomas (Earth-616)|Valerie Thomas]] (wife, deceased), Ruth (daughter), Flo (sister), Herbie (nephew)
29181	R'Kin	[[N'ala (Earth-616)|General N'ala]] (father, deceased)
29183	Rose	[[Michael Carling (Earth-616)|Dr. Michael Carling]] (father); unnamed mother; [[Ruth Wu (Earth-616)|Ruth Wu]] (granddaughter)
29266	Maurice	[[Arthur Mansfield (Earth-982)|Arthur Mansfield]] (father)Unnamed mother (deceased)[[William Mansfield (Earth-982)|William Mansfield]] (brother)[[Albert Mansfield (Earth-982)|Albert Mansfield]] (brother)Madeline Mansfield (sister)[[Donna Mansfield (Earth-982)|Donna Mansfield]] (cousin)[[Billy Mansfield (Earth-982)|Billy Mansfield]] (uncle)Katy Mansfield (aunt)
29695	Ruth	[[Andre Ogada (Earth-928)|Andre Daniel Ogada]] (father, deceased), unnamed mother, [[Zakarii Ogada (Earth-928)|Zakarii "Zak" Ogada]] (brother)
29823	Adrian	[[Utë Eiskalt (Earth-616)|Utë Eiskalt]] (brother, deceased)
29828	Steven	[[Captain America (Steve Rogers)|Captain America]] (descendant)
29830	Shakti	[[Zail Haddad (Earth-928)|Zail Haddad]] (father)
29847	Desdemona	[[Noah Synge (Earth-928)|Noah Synge]] (father, decesaded), [[Lytton Synge (Earth-928)|Lytton Synge]] (brother)
29853	Elizabeth	[[Wallace Worthington (Earth-616)|Wallace Worthington]] (husband, deceased),&lt;br /&gt; [[:Category:Shaw Family|Shaw Family]] (ancestors  descendents),&lt;br /&gt; [[:Category:Worthington Family|Worthington Family]] (descendents)
29869	Hecat'e	[[Lara Wilkinson (Earth-616)|Lara Wilkinson]] (great-grandmother or great-great-grandmother) [[Lenore Wilkinson (Earth-616)|Lenore Wilkinson]] (grandmother or great grandmother)
29878	Jean	[[Jean Grey (Earth-616)|Jean Grey]], [[Brian Grey (Earth-616)|Brian Grey]] [[Elaine Grey (Earth-616)|Elaine Grey]], [[John Grey (Earth-616)|John Grey]], [[Roger Grey (Earth-616)|Roger Grey]], [[Liam Grey (Earth-616)|Pastor Liam Grey]], [[Sara Grey (Earth-616)|Sara Grey]], [[Julia Grey (Earth-616)|Julia Grey]], [[Julian Grey (Earth-616)|Julian Grey]], [[Kindra Grey (Earth-616)|Kindra Grey]], [[Mary-Margaret Grey (Earth-616)|Mary-Margaret Grey]], [[Nathan Summers (Earth-616)|Nathan Summers]] (descendants)
29886	Master	None
29889	Edward	[[Joachim Eduardo Vasquez (Earth-928)|Joachim Eduardo Vasquez]] (godson)
29895	Nephri	unnamed mother (deceased);
29939	Wallace	[[Elizabeth Shaw (Earth-616)|Elizabeth Shaw]] (wife), [[:Category:Worthington Family|Worthington Family]] (descendants)
30007	Philip	[[Oscar Stamp (Earth-616)|Oscar Summers]] (adoptive paternal great-grandfather, deceased);
30008	Deborah	[[Oscar Stamp (Earth-616)|Oscar Summers]] (adoptive great-grandfather-in-law, deceased);
30027	Jean-Paul	[[Jeanne-Marie Beaubier (Earth-295)|Aurora]] (sister, deceased)
30028	Jeanne-Marie	[[Jean-Paul Beaubier (Earth-295)|Northstar]] (brother, deceased)
30061	Sean	[[Theresa Cassidy (Earth-295)|Sonique]] (daughter)
30064	Nils	[[Azazel (Earth-295)|Azazel]] (father);
30067	Charles	[[Erik Lehnsherr (Earth-295)|Magneto]] (father, deceased),
30068	Jeremy	Unnamed mother;unnamed father;two unnamed sisters
30076	Katherine	[[Piotr Rasputin (Earth-295)|Colossus]] (husband, deceased);[[Illyana Rasputina (Earth-295)|Illyana Rasputina]] (sister-in-law);[[Mikhail Rasputin (Earth-295)|Mikhail Rasputin]] (brother-in-law, deceased)
30078	Illyana	[[Mikhail Rasputin (Earth-295)|Prelate Rasputin]] (brother, deceased);
30079	James	Most of the [[Madri (Earth-295)|Madri]] (dupes, deceased)
30084	Ch'vayre	[[Luminesca (Earth-4935)|Luminesca]] (twin sister, deceased)
30103	Andreas	Claude (brother)
30106	Alexander	[[Victor von Doom (Earth-616)|Victor von Doom]] (alleged father)
30110	Christine	Mr. Palmer (father);Mrs. Palmer (mother)
30112	Linda	Unnamed physician father, unnamed mother, [[Marshall Michaels (Earth-616)|Marshall Michaels]] (ex-fiancé)
30186	Nyko	[[Pico Halfghanaghan (Earth-616)|Pico]] (brother); Unnamed father;
30283	Marguerita	[[Carmen Burnemissza (Earth-616)|Carmen]] (grand-daughter) 
30315	Daniel	[[Herb Bannion (Earth-616) |Herb]] (Grasp) and [[Thomas Bannion (Earth-616)|Thomas]] (Chain Lightning)(brothers), Theodore (nephew, deceased) 
30316	Thomas	[[Herb Bannion (Earth-616) |Herb]] (Grasp) and [[Daniel Bannion (Earth-616) |Daniel]] (Sonic) (brothers), Theodore (nephew, deceased) 
30317	Herb	[[Daniel Bannion (Earth-616) |Daniel]] (Sonic), [[Thomas Bannion (Earth-616) |Thomas]] (Chain Lightning) (brothers), Theodore (son, deceased) {{r|Iron Manual Mark 3 Vol 1 1}}
30319	Madam	[[Master Zei (Earth-616)|Master Zei]] (brother)
30321	Meiko	[[Angela Yin (Earth-616)|Angela Yin]] (cousin)
30322	Angela	[[Meiko Yin (Earth-616)|Meiko Yin]] (cousin)
30324	Master	[[Madam Qwa (Earth-616)|Madame Qwa]] (sister)
30329	Namora	Royal Family of Atlantis
30330	Magnus	[[Max Eisenhardt (Earth-27)|Magneto]] (father),
30363	Carmen	[[Samuel Prydeman (Earth-616)|Samuel Prydeman]] (father, deceased);[[Chava Prydeman (Earth-616)|Chava Rosanoff]] (paternal aunt, deceased);[[Theresa Pryde (Earth-616)|Theresa Pryde]] (ex-wife);
30405	Stretch	Unnamed grandmother{{r|Runaways Vol 2 14}}
30489	Craig	[[Rahne Sinclair (Earth-616)|Rahne Sinclair (Wolfsbane)]] (daughter);
30490	Bridgit	unnamed parents
30492	Samuel	[[Elizabeth Guthrie (Earth-295)|Elizabeth (Amazon)]] (sister, deceased),[[Paige Guthrie (Earth-295)|Paige (Husk)]] (sister, deceased),[[Joshua Guthrie (Earth-295)|Joshua]] (brother, deceased)
30493	Elizabeth	[[Samuel Guthrie (Earth-295)|Samuel (Cannonball)]] (brother, deceased),
30495	Jesse	[[Terrence Aaronson (Earth-295)|Bedlam Terry]] (brother)
30499	Scarlett	Unborn child from [[Alexander Summers (Earth-295)|Havok]]
